pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
800005f0,0,30552,76800,397,30551,0,1
800007fe,0,21,115,182,20,0,1
8000121c,0,23,409,56,22,0,1
80000646,0,12,522,22,11,0,1
80001216,0,9,409,22,8,0,1
8000017c,0,3,200,15,2,0,1
80000530,0,4,300,13,3,0,1
80000572,0,4,300,13,3,0,1
800004b2,0,7,600,11,6,0,1
800005fe,0,6,600,10,6,0,0
800007fc,5,1,115,8,0,0,1
800005b8,0,603,76800,7,603,0,0
800011ba,0,3,533,5,2,0,1
80000174,0,125,25600,4,124,0,1
8000120e,5,1,387,2,0,0,1
8000046a,0,54,76800,0,53,0,1
800005f4,0,14,38016,0,14,0,0
80000492,0,1,76800,0,0,0,1
8000056c,0,0,300,0,0,0,0
80000146,0,0,200,0,0,0,0
80000150,2,0,25600,0,0,0,0
800005f8,1,0,57792,0,0,0,0
80000604,1,0,522,0,0,0,0
80000656,0,0,522,0,0,0,0
800005a0,1,0,600,0,0,0,0
800006a8,4,0,25600,0,0,0,0
80000660,4,0,522,0,0,0,0
8000059a,0,0,600,0,0,0,0
80000462,1,0,600,0,0,0,0
8000045c,0,0,600,0,0,0,0
8000052a,0,0,300,0,0,0,0
800011be,1,0,522,0,0,0,0
